Date,E72119,H89777,F85464,H25081,H90004,F24440,G54244,H90047,H75846,B89546,H87666,H70121,H75906,I83509,F88857,H70826,E20204,F81043,E11600,E90081,H88608,C89731,H89262,E89070,E10382,I65752,H86222,E37381,H75811,I35124,H85414,E78705,E83910,H77369,H90108,E89216,H90495,E37402,I87510,I86122,G82171,E42614,H83683,I75912,G89866,H85789,G82777,D34367,E92583,E87034,D11308,H50702,E86242,H72231,H88290,I79698,E30648,F12758,E87268,I83303,H71175,H41187,H89897,H77120,D84010,E79108,C63132,I89927,G81481,D88660,H89050,G88901,H84767,H83218,E25452,E82651,H90082,I74500,H89995,E88839,F29647,G76360,H78943,C76279,H89994,G77584,H89323,D81084,H80779,H88291,E11825
Y2019M2,-0.104556,0.041865,0.171315,0.106299,0.028637,0.038339,0.062022,0.03641,-0.087591,0.119322,0.057913,0.044518,0.075741,0.08548,0.11317,0.039183,0.026583,-0.19347,-0.004529,0.192201,0.041736,0.009182,0.067027,0.132895,0.030794,0.089261,0.042672,0.09589,-0.02974,0.010193,-0.029693,0.204644,-0.010597,-0.08228,0.039568,0.076172,0.016619,-0.031338,0.027915,0.05804,-0.011751,0.069821,0.193567,0.094705,0.056446,0.116861,0.011019,-0.030488,0.146412,0.069653,-0.057968,-0.137042,0.059359,0.005387,-0.002704,0.047171,0.023375,-0.098791,0.140326,0.139626,0.074799,0.037913,0.054557,-0.059064,-0.158839,0.023062,0.077724,0.024925,-0.005164,0.028161,0.023952,0.006794,0.031736,0.037515,0.075314,0.047574,-0.010116,-0.092466,0.016399,0.172012,0.022989,0.085743,0.008104,-0.026107,0.031101,0.104778,0.076594,0.076923,0.019903,0.014367,-0.05358
Y2019M3,0.710766,-0.004077,0.007937,-0.150614,0.005612,0.014111,-0.0616,0.048637,-0.027429,-0.063312,0.016138,0.008906,-0.077874,0.035868,-0.058436,0.015936,0.000591,0.082959,0.189595,0.031542,-0.037941,0.016896,-0.060081,0.030777,-0.0076,0.120359,0.04125,-0.075,-0.051724,0.016089,0.015795,-0.013897,-0.102161,0.022433,0.019722,-0.077697,0.014788,0.087233,-0.167732,-0.394324,-0.061294,-0.078554,-0.017267,-0.006895,0.024549,-0.128874,-0.02014,-0.161006,-0.059933,0.080693,0.042347,0.022764,0.033947,0.021605,0.041566,0.065917,-0.175517,-0.024399,0.033936,-0.023129,-0.094486,0.065047,0.044508,-0.09422,-0.148528,-0.096744,0.025689,0.280105,0.090418,-0.073427,0.031112,-0.003943,0.056222,0.023141,0.038911,0.039179,0.004109,-0.00566,0.003851,0.072139,0.010879,-0.104864,0.028249,-0.062709,-0.030918,-0.024492,-0.093897,0.531746,0.05664,0.02326,-0.143287
Y2019M4,-0.115216,0.014932,0.049494,0.071877,0.033634,-0.009624,0.075712,0.032957,0.029691,-0.071635,0.081229,-0.017654,0.11657,0.106222,-0.00845,-0.01604,0.005082,0.122828,0.031055,0.00453,0.041957,0.067485,0.046587,-0.035552,-0.107256,-0.034286,0.035887,0.006757,0.00202,0.089909,0.01001,-0.122175,0.030635,0.06328,-0.004195,0.220398,0.014666,0.14187,-0.113244,0.333072,0.081548,0.072893,0.016566,-0.018551,0.060606,0.080085,0.018982,0.007496,-0.039039,0.026664,0.046948,-0.042925,-0.059731,0.009018,0.036437,0.048062,0.005424,0.093069,0.034356,0.109263,0.099024,0.017415,0.009564,0.095712,-0.004889,0.175736,-0.067555,0.00824,0.059406,-0.034717,0.027337,0.022761,-0.001192,0.023466,0.079245,-0.151643,0.046547,-0.033207,-0.02696,-0.102088,0.007885,-0.07438,0.020489,0.001532,0.085528,0.000534,0.126354,-0.300518,0.057658,0.063482,0.037427
Y2019M5,-0.036093,0.003336,0.037513,-0.124316,-0.063281,-0.018422,-0.042511,-0.016176,0.28143,-0.052271,-0.054887,-0.018194,-0.04711,-0.012474,0.013224,0.023304,-0.096414,0.069767,0.053589,-0.050169,-0.099157,-0.052972,-0.046584,-0.074943,-0.123702,-0.140828,-0.027843,-0.144295,-0.074597,-0.034967,-0.126858,0.074219,-0.076433,-0.018074,-0.025809,-0.154855,-0.081278,0.124709,-0.188312,0.176471,-0.018425,-0.121603,-0.006914,-0.070852,-0.147841,-0.111549,-0.15529,-0.09127,-0.023438,-0.02704,0.001427,0.099668,-0.270886,-0.003221,-0.077009,-0.048248,-0.018881,-0.024422,0.253262,0.081771,-0.147075,0.009161,0.026414,0.050026,-0.151929,-0.216097,0.112124,-0.215437,-0.087078,-0.08807,0.028898,0.007983,0.028232,-0.00663,-0.01049,-0.060082,-0.035679,-0.02159,-0.026753,-0.413437,0.006482,-0.053571,0.031008,-0.077002,-0.070083,-0.185606,-0.055912,0.185185,-0.024055,-0.060613,-0.134724
Y2019M6,0.056902,0.018197,0.023502,0.065243,0.071095,0.024062,-0.03288,0.061375,0.128065,0.083388,0.064334,-0.052283,0.089641,-0.000953,0.040989,0.014038,0.09129,-0.018972,0.084973,0.233234,0.076882,-0.02531,0.019651,0.035548,0.106354,0.055096,0.011789,-0.098039,0.034858,0.067364,0.064699,-0.025455,0.307782,0.083339,0.037788,0.115145,0.077882,0.131154,0.08,0.125,0.038808,0.126129,0.051077,0.067809,0.037427,0.078656,0.050948,-0.106441,-0.0784,0.044148,0.044576,0.014041,-0.006366,0.042892,0.056832,0.063714,0.064605,0.000336,0.0885,-0.096121,0.065418,0.048387,0.007872,0.001666,0.12221,0.138774,-0.00133,0.067998,0.057092,0.031614,-0.012137,0.04065,-0.029506,0.065347,0.070671,0.072393,0.094291,-0.069208,0.07202,-0.118943,0.023222,-0.169811,0.000755,0.119337,0.065007,0.150166,0.083742,-0.462625,0.025088,0.068931,0.057329
Y2019M7,0.705106,0.023967,0.100177,0.007709,0.008294,0.01774,-0.024253,0.014246,0.062802,-0.027879,0.000725,0.043296,0.001838,0.245825,0.006999,0.019628,0.003116,-0.111604,-0.066998,0.230029,0.011866,-0.012205,0,0.147698,0.003993,0.08094,0.031984,-0.043478,0.046316,0.089409,0.046002,-0.019403,0.062167,-0.110903,0.038165,-0.025814,-0.042112,-0.115947,-0.091358,0.111111,0.019201,-0.112702,-0.010481,-0.244875,0.012026,0.02927,-0.033127,-0.007941,0.159722,-0.067345,0.033582,-0.08,-0.035527,0.012336,0.008867,-0.134274,-0.017498,0.071716,-0.173913,0.079499,-0.039195,0.028703,0.015007,0.078183,-0.143271,0.048547,-0.064788,0.056082,-0.052519,-0.059091,0.021115,0.033437,0.037352,-0.010383,0.222591,-0.021743,-0.034467,-0.023707,-0.013051,0.24,-0.008135,0.045455,0.039364,-0.093287,0.027387,0.190064,0.004902,-0.286927,0.029626,0.010105,-0.171288
Y2019M8,0.077409,0.015674,0.043578,-0.157787,-0.029685,-0.001863,-0.0415,0.018821,-0.022727,-0.32793,0.000365,-0.027119,-0.060374,0.035328,0.038087,0.005219,-0.084468,0.037566,-0.042241,0.129499,-0.051303,0.066053,-0.042827,0.030119,-0.15234,-0.004831,0.00751,-0.036364,-0.030181,0.062102,-0.13089,-0.128615,-0.003344,-0.109746,-0.021285,-0.065638,-0.069815,-0.176252,-0.421196,0.05,-0.214088,-0.011404,-0.021184,-0.034081,-0.024508,-0.076949,-0.048276,-0.252463,0.008982,-0.010527,0.045791,-0.105351,-0.332929,0.000413,-0.01049,-0.040623,-0.209763,-0.048091,-0.095526,0.639568,-0.204695,-0.001786,0.026187,0.009899,-0.001176,-0.089764,-0.023013,-0.169318,-0.002162,-0.093502,0.004491,0.023473,0.023777,0.008071,0.230978,0.006316,-0.050169,-0.05298,-0.011767,0,0.048991,-0.016304,0.02924,0.081655,-0.051622,-0.036855,-0.079791,-0.177948,-0.143398,-0.006093,0.0171
Y2019M9,-0.214596,0.017455,-0.056264,0.081265,0.034625,0.058549,0.059042,0.006825,0.019531,0.188312,0.09266,0.055749,0.016862,-0.019882,0.173897,-0.004648,0.057581,-0.008562,0.024161,0.01247,0.056158,0.095285,0.071991,-0.012141,0.126812,0.095267,0.015415,-0.084906,0.053942,-0.044008,0.090361,0.135371,0.02705,-0.141946,0.063315,0.074795,0.076107,0.088398,0.169014,-0.047619,0.012928,0.009724,0.027736,0.041393,0.197183,0.07992,0.072612,0.066722,0.069555,-0.039562,-0.003634,0.11284,0.366364,0.022768,0.041834,0.069724,0.13297,0.055638,0.092523,-0.141667,0.169618,0.027252,-0.005583,0.062628,0.006179,0.111073,0.029626,-0.095429,0.124397,0.03799,0.001661,-0.006149,0.034704,0.006138,0.013245,0.053518,0.039326,-0.254079,-0.007883,0.239919,0.035725,-0.110497,-0.038532,-0.137393,0.047866,0.05102,0.079894,0.40873,0.063328,-0.002603,0.044591
Y2019M10,0.087386,0.028669,0.015137,-0.008638,0.018993,-0.042585,-0.011587,0.015531,-0.003065,-0.071819,0.001562,0.021122,0.060931,0.027172,0.008704,-0.001094,-0.050974,-0.051364,0.027575,0.07766,0.019915,0.060627,0.003148,0.006993,0.128296,0.006094,-0.000392,0.072165,0.019685,-0.124919,0.020454,-0.036538,0.017284,0.024387,0.027823,-0.073225,-0.012714,-0.160129,0.253012,-0.103,-0.058915,0.013654,-0.033253,-0.018627,0.080763,0.035799,0.009375,-0.009266,0.023749,0.018068,-0.000184,-0.034965,-0.016633,0.024137,0.067657,0.077558,0.230655,-0.023929,0.019707,0.106796,-0.063762,-0.010085,-3.5e-05,-0.059788,0.083638,-0.042977,0.16934,0.126323,-0.032936,-0.037649,-0.009667,-0.059605,0.030577,0.023342,0.301969,-0.052009,0.028993,0.096875,0.047829,-0.089431,-0.019831,0.10559,-0.013609,0.094516,0.020429,0.02767,0.065608,-0.113099,-0.001847,0.011316,0.286214
Y2019M11,-0.036086,-0.000119,0.071576,0.076276,0.034377,-0.023223,-0.002433,-0.003775,0.006149,-0.08831,0.026816,0.009817,0.010096,0.001102,0.006585,0.01309,0.090695,0.037853,0.032129,0.215873,0.027529,0.00319,0.031381,0.051002,0.070675,-0.109581,0.00751,-0.019231,0.025097,0.023216,0.038976,-0.161677,-0.08576,-0.032464,-0.006124,0.048001,0.005246,0.040659,0.179487,0.237458,-0.001507,0.052495,0.097707,0.144821,0.037952,0.01402,0.012976,0.182385,-0.071816,0.034322,-0.011574,0.081522,0.126445,0.020373,0.016229,0.041407,0.070999,-0.116343,0.158527,0.017544,0.116195,-0.025692,0.008404,-0.003444,-0.006882,0.035145,-0.014119,0.007578,-0.171558,-0.011329,0.003123,-0.045411,0.023748,0.008294,0.309244,0.049381,0.012962,-0.088291,0.061298,0.035714,0.013066,-0.078652,-0.00143,0.116205,0.049419,0.329828,0.02615,0.086073,-0.001401,0.025972,-0.033732
Y2019M12,-0.082683,0.044471,-0.014558,0.028547,0.026428,0.057299,-0.018186,0.017677,0.117013,0.130996,-0.00219,0.020739,0.043094,0.015323,0.044218,0.003819,0.039846,-0.077101,0.002653,-0.065013,0.028934,-0.052364,-0.018349,0.031938,0.121196,-0.012369,-0.005336,-0.029412,0.022599,0.055033,0.036442,0.095238,-0.021409,0.072243,0.008565,0.055207,0.091022,0.023231,0.038043,-0.117117,-0.009627,-0.006933,0.000914,-0.022324,0.011905,0.015916,0.068928,-0.007251,0.164964,-0.043424,0.036517,-0.074653,0.237176,0.011874,0.06853,-0.039636,0.28805,0.053101,0.042381,0.12069,-0.051399,0.073048,-0.002136,0.012382,0.067255,0.076391,0.033756,0.009025,0.028318,0.076992,0.021803,0.075252,0.000554,0.04473,-0.205392,0.052146,0.027014,0.121215,0.032107,0.051724,-0.023267,-0.030488,0.021436,0.092646,0.023803,-0.028037,0.001935,0.429303,0.081346,0.014583,0.03491
