Date,E72119,H89777,F85464,H25081,H90004,F24440,G54244,H90047,H75846,B89546,H87666,H70121,H75906,I83509,F88857,H70826,E20204,F81043,E11600,E90081,H88608,C89731,H89262,E89070,E10382,I65752,H86222,E37381,H75811,I35124,H85414,E78705,E83910,H77369,H90108,E89216,H90495,E37402,I87510,I86122,G82171,E42614,H83683,I75912,G89866,H85789,G82777,D34367,E92583,E87034,D11308,H50702,E86242,H72231,H88290,I79698,E30648,F12758,E87268,I83303,H71175,H41187,H89897,H77120,D84010,E79108,C63132,I89927,G81481,D88660,H89050,G88901,H84767,H83218,E25452,E82651,H90082,I74500,H89995,E88839,F29647,G76360,H78943,C76279,H89994,G77584,H89323,D81084,H80779,H88291,E11825
Y2018M4,0.041096,0.003283,0.048332,-0.014073,0.004167,0.013198,0.039583,0.003542,-0.00295,0.010482,0.003891,0.025819,0.058058,0.206362,0.03871,0.003144,-0.098124,-0.012189,0.000596,-0.00199,0.017248,-0.104005,0.014085,0.056218,0.006887,0.232727,0.003759,-0.014084,0.006024,0.094406,-0.005753,-0.047923,-0.065134,-0.066363,0.02256,-0.138588,0.117821,0,0.062929,-0.014423,0.020556,-0.006405,0.014373,0.055634,-0.182609,0.039308,-0.051139,-0.061258,-0.057391,-0.053824,-0.005066,0.003109,0.027513,-0.001302,-0.053208,0.031202,-0.061815,0.003377,-0.006798,-0.1,0.021004,0.009017,-0.0024,0.045614,0.228754,0.128107,-0.042462,-0.122694,0.010432,0.102396,-0.003995,0.128192,-0.002562,-0.009601,-0.039686,-0.051548,0.05317,-0.0625,0.009119,0.15,-0.013708,0.065574,-0.009752,0.124088,-0.003599,0.051919,0.008847,-0.11336,0.039497,0.017113,-0.152778
Y2018M5,0.575451,-3.3e-05,-0.037944,-0.003066,0.00608,0.065409,0.055912,0.012429,0.068047,-0.043569,0.010067,0.009311,0.087985,0.061473,0.017081,0.027727,-0.002152,-0.121135,-0.129718,-0.162512,0.058271,-0.030686,0.008333,-0.031779,0.054896,0.253687,-0.00566,0.091786,-0.100299,0.059192,0.005786,0.07047,-0.103279,0.052601,0.002825,-0.012691,0.016163,-0.014862,0.151776,0.353659,-0.007567,0.009912,0.007629,0.047237,0.024178,0.013616,0.062355,0.029982,-0.147712,0.051404,-0.00486,0.159091,-0.002584,-0.003084,0.009091,0.094402,0.12243,0.136961,0.135945,-0.015873,-0.197809,-0.001441,0.025786,-0.011186,0.108479,-0.023729,0.160536,0.102445,-0.138701,0.063255,0.01475,0.076067,0.00281,-0.02262,0.118785,0.022345,0.045146,-0.066667,0.015362,-0.234783,-0.018375,0.015385,0.011639,0.25974,-0.001589,0.095445,0.016599,-0.497717,0.151427,0.012403,0.12459
Y2018M6,0.034433,-0.001369,0.08609,-0.032135,0.00209,0.005425,0.045739,0.026111,-0.003693,0.023861,-0.028793,0.03813,-0.000348,-0.024359,-0.023921,-0.005931,-0.035856,-0.032285,0.001084,-0.040476,0.008989,0.031658,0.013825,0.001525,0.022048,0.087059,0.021033,0.059863,-0.0599,-0.010109,0.01534,0.043887,0.152074,0.036192,0.006073,-0.020127,0.029448,-0.010776,-0.091589,0.162162,-0.032701,-0.052425,0.039782,0.087778,0.004092,-0.012239,-0.07601,0.046233,-0.032342,-0.012395,0.02907,-0.001817,0.082902,0.005627,-0.017199,0.001205,0.022898,0.051155,-0.23208,0.016129,-0.046895,-0.000874,0.004736,0.015498,-0.01453,0.017361,-0.019846,0.056332,0.02918,-0.078091,0.002982,-0.011731,0.017451,0.003523,-0.049383,0.005036,-0.013979,0.27619,0.015637,0.215909,-0.014388,0.136364,-0.003579,-0.054124,-0.018805,0.065347,-0.050524,-0.086364,0.025797,0.034198,0.014577
Y2018M7,0.167243,0.010726,0.076142,0.066212,0.046518,0.038696,0.049002,0.054652,0.007414,-0.063559,0.018685,-0.012441,0.032343,0.305556,-0.025157,0.030349,0.130288,0.068435,0.099155,-0.007444,0.026052,0.012884,-0.013636,0.126346,-0.178428,-0.056277,-0.011321,0.061728,0.083186,-0.061657,0.041788,0.098318,-0.116,0.030715,0.018219,0.201001,0.011669,0.069717,-0.010288,-0.069767,-0.051136,-0.039518,-0.027778,-0.020254,0.050784,-0.001517,0.004243,-0.055646,0.033557,0.084587,0.063156,-0.033667,0.079904,-0.008558,0.05,0.019037,0.027336,0.06719,0.199946,-0.015873,0.081103,0.025364,0.022889,-0.020179,0.147008,-0.006826,0.007253,-0.136049,0.073882,0.067231,0.016951,0.038796,0.010066,0.065071,-0.052493,0.019009,0.015595,0.014925,0.059507,0.065421,0.047913,0.106667,0.008032,0.087193,0.04685,-0.096654,-0.020867,-0.094527,-0.030079,0.023742,0.077586
Y2018M8,0.3083,0.012676,0.029753,0.00557,0.018958,0.01628,-0.034567,0.018658,0.037718,0,-0.019191,0.016374,0.004234,-0.034701,-0.029032,0.004438,0.011704,0.076783,-0.170235,-0.15,0.031373,-0.023611,-0.014747,-0.015057,-0.007531,0.068807,0.013462,-0.104651,-0.013072,0.043942,-0.009328,-0.123257,0.284163,0.053416,0.018,0.099331,-0.041932,-0.07332,-0.10499,-0.133333,0.032395,0.054416,-0.000539,0.087368,0.029833,0.057751,0.010044,0.005199,-0.0671,0.026396,-0.044178,-0.019774,0.273333,0.032656,0.003439,0.105811,0.05004,0.073009,0.022773,-0.177419,-0.071734,0.011658,0.02093,0.059497,-0.002268,0.058419,0.220822,-0.048603,-0.117989,0.035774,0.001418,-0.03557,0.007141,0.002017,-0.052632,-0.039489,0.009307,0.102941,0.050116,0.04386,-0.039123,0.180723,-0.0016,0.047619,0.013737,0.070686,0.010323,0.027472,0.121726,0.059138,0.189333
Y2018M9,-0.201662,-0.006009,0.094433,-0.068527,0.006243,-0.013847,0.003548,0.003721,-0.001787,-0.045249,0.000503,-0.062053,-0.061214,-0.039753,0.015502,-0.035503,0.077454,-0.019832,-0.052417,-0.042647,-0.029764,-0.087245,0.014085,0.065356,0.036177,-0.034335,0.013384,-0.006494,0.024834,-0.028127,-0.008475,-0.128703,0.021277,-0.039287,-0.000395,0.028527,0.003945,-0.096703,-0.140534,-0.019231,0.010753,0.110613,-0.005435,0.062538,-0.082561,-0.05546,0.030767,-0.089655,0.060325,-0.01692,0.045098,-0.072549,-0.075044,-0.022526,-0.006064,0.05836,-0.048522,0.013746,0.047178,-0.039118,0.059382,0.009073,-0.038406,-0.024082,-0.086396,-0.103896,0.003686,-0.050575,0.012918,0.034897,-0.039316,-0.007766,-0.0127,-0.002301,-0.169591,0.027444,0,-0.02,0.022184,-0.117647,0.008071,-0.05102,-0.020917,0.179426,-0.025936,-0.104854,-0.075808,-0.315508,-0.026557,0.009954,-0.09417
Y2018M10,-0.05298,-0.034285,0.048294,-0.095787,-0.049783,0.005369,-0.017857,-0.00424,-0.059982,-0.085308,-0.079477,-0.094148,-0.02168,-0.055745,0.024342,-0.063174,-0.114997,-0.010895,-0.082406,-0.376344,-0.100923,-0.06987,-0.07037,-0.136001,-0.253918,-0.115556,-0.098859,-0.045752,-0.027464,-0.177899,-0.035191,-0.11951,0.020833,0.026019,-0.052108,-0.199936,-0.125679,-0.115328,-0.041892,-0.171569,-0.046003,-0.1785,-0.054645,-0.223938,-0.138933,-0.122324,-0.080014,-0.086742,-0.079015,-0.034386,0.036588,-0.053911,-0.16717,-0.044948,-0.12122,-0.069274,-0.171315,-0.049356,-0.315579,-0.013366,-0.065268,0.048047,-0.058446,-0.125167,-0.029283,-0.083333,-0.090108,-0.104654,0.033722,-0.196933,-0.013786,-0.089191,-0.028301,-0.045835,0.035714,-0.025632,-0.063397,-0.238095,-0.076936,-0.245714,-0.040474,-0.032258,-0.012376,-0.175254,-0.053481,-0.104121,-0.108282,-0.352578,-0.035748,-0.080996,0.046535
Y2018M11,0.382617,-0.011224,0.002764,-0.029181,0.032709,0.095989,-0.074909,0.038208,0.025714,0.02228,0.015523,0.014936,0.002401,0.016495,0.063584,0.057769,-0.003676,-0.151062,0.090962,0.009852,0.006843,-0.033827,-0.006972,0.030196,-0.048657,-0.160302,-0.017021,-0.082192,-0.096345,-0.003939,0.017224,-0.044716,-0.293197,-0.034986,0.018159,0.034862,-0.009661,0.064356,-0.132581,0.02355,0.025558,0.207667,0.022543,0.049508,0.020902,0.072822,0.100666,0.009954,-0.142294,0.071222,0.060777,-0.061453,0.023182,0.045958,0.005131,0.038435,-0.054808,-0.003718,0.018148,-0.221613,-0.009652,0.035657,0.001403,0.025458,0.045804,0.068775,0.055705,-0.133113,0.0293,0.058021,0.023628,-0.003607,0.018572,0.003323,-0.206897,0.046866,0.009881,-0.008929,0.065273,-0.002525,0.102881,-0.077778,0.00755,0.005411,0.026805,-0.063725,0.039405,0.315313,0.066995,0.024821,-0.040208
Y2018M12,-0.066474,-0.037767,-0.127412,-0.124905,-0.091628,-0.010853,0.007468,-0.050399,-0.141386,-0.166751,-0.097853,-0.098108,-0.146094,-0.051388,-0.026772,-0.031476,-0.164293,-0.009268,-0.012771,-0.169756,-0.123379,-0.093461,0.011078,-0.111605,-0.15363,-0.123279,-0.044105,-0.029851,-0.104779,-0.173999,0.007968,-0.144681,-0.128155,-0.232021,-0.061285,-0.115905,-0.155766,-0.178295,-0.165854,-0.340849,0.17505,-0.111999,-0.116809,-0.041508,-0.147629,-0.145502,-0.13173,-0.041889,-0.31856,-0.028374,-0.060516,-0.274725,-0.181697,-0.051445,-0.020481,-0.165481,-0.180102,-0.096024,-0.356495,-0.287897,-0.181844,-0.044363,-0.002005,-0.063183,-0.037996,-0.110207,-0.074178,-0.062045,0.040913,-0.172721,-0.015394,-0.056548,-0.066586,-0.050888,-0.108696,-0.050005,-0.072727,-0.162162,-0.091175,-0.194937,-0.06495,-0.39759,-0,-0.122309,-0.113579,0.012565,-0.163636,-0.183486,-0.095568,-0.090952,-0.131099
Y2019M1,0.613777,0.071055,0.057213,0.146309,0.069525,0.054223,-0.081545,0.06388,0.045802,0.004258,0.087376,0.184149,0.15881,0.02521,0.026201,0.08127,0.146578,0.16043,0.127385,-0.156287,0.121888,0.218002,-0.078685,0.056305,0.226234,-0.02116,0.07788,0.123077,0.104723,0.086176,0.063136,0.221393,0.155902,0.134817,0.126598,0.05298,0.145225,0.123899,0.187135,0.396246,-0.054486,0.155763,0.103226,0.022799,0.10493,0.116297,0.093604,0.054436,0.256057,0.04761,0.016473,0.240741,0.256786,0.103469,0.052815,0.062969,0.091475,0.013814,0.298122,0.047575,0.191967,0.015565,0.070146,0.11215,-0.005351,0.297589,0.083976,0.230599,0.072077,0.182011,0.061403,0.076937,0.142919,0.057107,0.17734,0.225656,0.047695,0.255914,0.05934,0.078616,0.10043,-0.004,0.040302,0.195652,0.094171,-0.037229,0.198509,0.314607,0.061766,0.089924,0.196256
